TRUNCATE TABLE trees;
  INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 345.8558, 0, 202.4751, '80047dff-bf50-4818-a821-76d36d33f6fd');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 362.4063, 0, 218.7232, 'a7eec80f-9e2a-49d5-8ad9-1c594d111d04');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 352.3013, 0, 224.8177, 'f3d07350-1be4-4ae7-9e9b-57757bb53790');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 380.3292, 0, 219.5262, '535cad49-95a0-4d5a-9894-fc509bb799f7');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 320.2817, 0, 200.1058, 'eeb72386-9226-41ec-89d8-3e9bdab67bee');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 337.9694, 0, 224.3875, '11a626af-5cea-4021-9512-4db28e716818');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 340.5991, 0, 240.3035, 'e055f9de-9218-4713-bb46-6041abb8a109');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 352.8662, 0, 190.1858, '922b54af-219c-4f3e-b2c2-72d5d0d0f64c');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 331.8228, 0, 169.3357, '90b8d45e-4e6a-412d-8ac2-ae3d03cc56a7');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 377.2545, 0, 180.3219, '1b456e4a-7533-4695-b6c0-35deb92749ff');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 374.7715, 0, 199.1124, '048f2005-de2f-4786-8235-9971027a6e0a');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 350.2032, 0, 180.5222, '2a201482-772b-401e-b0ae-a992cf6471d3');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 310.239, 0, 207.2376, '54d5bcf0-bc77-4855-b486-7142ab3a53fa');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 324.054, 0, 223.1785, 'af2796cc-2f57-4ffa-9ac3-706cabb88969');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 239.2494, 0, 380.7891, '5f98dcfc-ccaf-4718-9ad2-e737a70857b1');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 248.7774, 0, 382.457, 'a2225967-5c2d-4631-ae92-2bc9c4333b7d');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 228.4688, 0, 375.5049, '5ce2bd0a-2453-488b-b8bb-750d08110de5');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 164.6926, 0, 332.8582, '5ca7e044-6cc0-4671-aa94-42fdb1480370');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 148.02, 0, 333.5767, '6c185f1c-8600-40e0-8995-49f85e7da141');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 265.0955, 0, 255.4902, 'c83a9bb5-b882-429e-87ed-2e2684dbcfa6');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 256.4208, 0, 238.9989, '4dff89c2-8445-445e-a6eb-cf65600be066');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 251.5055, 0, 254.0051, 'a5442e9f-6d0a-48e2-81e9-1b149b538dc3');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 276.4656, 0, 252.439, 'fb8ff927-dc02-42e3-af4f-eff11231a71c');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 127.3867, 0, 150.7635, 'b9e8d7f0-0d44-4f4b-87f5-a52fe765f5ff');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 111.2568, 0, 149.1511, '2fbd6a60-905c-4ab2-9baa-f69627f0efdc');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 237.445, 0, 332.43, '908563d6-541b-4180-ba28-4e7966c80d2b');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 218.8592, 0, 334.6656, 'a9ac74ae-c4f5-419a-8ca9-464675b35331');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 232.2794, 0, 340.1332, '4885b2bd-4c98-42a5-8f18-b155b5dce4e0');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 308.7872, 0, 359.6089, '50f5356e-e249-4844-a8d0-f015eed5c5e6');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 311.8762, 0, 341.9965, 'c8331a97-0ffd-46a3-9235-64ba8fe2ecc6');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 316.7589, 0, 374.0106, 'e352336d-f6a0-4961-8369-a5f6328045bc');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 373.7884, 0, 310.1232, '16c1ed3b-3c3e-405a-b879-005c78c4247d');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 357.7671, 0, 311.2915, '85762cc7-a3c9-4181-b2d7-b1cd21feacea');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/alder', 1, 365.6801, 0, 316.968, 'ef52d27c-2555-4e66-b409-3915b3420629');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 213.3131, 0, 424.1877, '993f7230-afa6-40ec-9f7f-12331f03576f');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 219.1911, 0, 433.5745, 'a9feb172-f5eb-4d97-ae23-f8db467795e7');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 217.8395, 0, 418.869, 'bb064b76-9a11-487e-9620-7d182c139eab');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 216.241, 0, 417.2303, '2967091e-7c6e-4b56-b3c4-a0f6a5fd3cde');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 195.2644, 0, 424.621, '55bfd245-49e9-4a92-a5eb-c14a673ee757');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 215.0328, 0, 429.2899, '4a4cd640-fa5c-4778-b745-bc43e32e19d5');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 228.7288, 0, 434.9031, '33f6626b-1cb7-4a2d-91c9-a0abc74ddac9');
INSERT INTO trees (BundleName, Map, PositionX, PositionY, PositionZ, Serial) VALUES ('models/trees/conifer', 1, 214.7335, 0, 424.784, '4f8b0837-372b-438a-b871-52a7d75093f7');
